Run,Type,Heap,QuickSort par.2 First,QuickSort par.50 First,QuickSort par.100 First,QuickSort par.2 Median
50,Ordered,39345,60040,2811,2299,19418
500,Ordered,103473,1134372,415681,378891,36791
1000,Ordered,126467,1629255,1457055,1925367,88910
2000,Ordered,161214,430755,715370,630037,32448
5000,Ordered,407250,4463653,2297871,2343603,73326
20000,Ordered,1795578,53329549,44172303,39099564,1844888
50,Rand,6643,32703,511,256,3066
500,Rand,57485,350531,335712,246803,11242
1000,Rand,93254,112415,109094,108072,19162
2000,Rand,285637,725334,563098,534739,35002
5000,Rand,554923,2417184,2284074,2518869,115481
20000,Rand,2482589,42623016,32711566,45886125,374037
50,Reverse,8687,2300,255,255,1022
500,Reverse,26571,38579,30403,28615,6132
1000,Reverse,53397,105773,105773,106539,10986
2000,Reverse,108328,386045,399840,390899,21716
5000,Reverse,539849,4073776,3139707,4233713,53653
20000,Reverse,2402365,47973216,42934713,43621724,374292
