Size,Recursive,Iterative,
1,0.007665,0.035258,
2,0.006387,0.015585,
3,0.013796,0.016862,
4,0.030658,0.03117,
5,0.048543,0.076136,
6,0.108839,0.173988,
7,0.161213,0.466267,
8,0.345165,0.893444,
9,0.963448,1.169883,
10,1.619032,2.304508,
11,2.239358,2.033435,
12,2.921003,3.170615,
13,4.956993,7.414027,
14,9.32866,9.429067,
15,14.437157,11.806901,
16,23.737968,21.748478,
17,35.342777,40.1733,
18,67.755356,96.669525,
19,121.50737,98.481705,
20,175.98753,187.96025,
21,408.17236,375.94705,
22,704.9243,722.9442,
23,1539.288,1547.2224,
24,3271.4639,3218.4805,
25,5873.4014,6386.0566,
26,10926.046,11800.71,
27,23677.309,23834.953,
28,44354.363,48246.27,
